Episode,Reward
1,-413.83203
2,-151.28342
3,-375.37677
4,-207.89885
5,-267.02655
6,12.958427
7,-303.14276
8,-353.5483
9,-199.16254
10,39.152924
11,-364.32886
12,15.161642
13,-171.80907
14,19.417486
15,-261.31406
16,-153.62573
17,-534.01294
18,-317.25317
19,-328.0394
20,-278.43854
21,-337.53586
22,-398.8093
23,-221.39352
24,48.75404
25,-380.58646
26,-371.81287
27,-240.72495
28,-176.0835
29,-309.29593
30,-148.01079
31,-141.9136
32,-522.17505
33,-314.2907
34,-171.67838
35,-335.82782
36,-149.15218
37,-177.04622
38,-217.4281
39,-284.6528
40,-295.84143
41,-389.8931
42,15.666685
43,-410.86526
44,-489.98697
45,-96.40263
46,-229.3573
47,-223.62537
48,-240.3763
49,-410.46896
50,-159.16624
51,8.568483
52,-259.07312
53,-202.04074
54,-167.85165
55,-294.18854
56,-183.8646
57,-262.1179
58,-126.76051
59,-280.67102
60,-336.57257
61,-273.38696
62,-220.96097
63,-211.8824
64,-184.62215
65,-185.77525
66,-304.71832
67,-328.30823
68,-1.8937874
69,-359.21594
70,-348.68323
71,-188.28844
72,-467.11398
73,-373.47357
74,-248.9911
75,-401.30118
76,-303.28207
77,14.710442
78,-219.55591
79,-384.0743
80,-356.57187
81,-407.16614
82,-473.9551
83,-229.75061
84,6.5080643
85,-528.35986
86,-543.9437
87,-506.17166
88,-511.05646
89,-374.9529
90,-348.89893
91,-307.67697
92,-22.445301
93,-196.4273
94,-176.90625
95,-360.91068
96,-150.56288
97,-320.4087
98,-419.52023
99,-375.8025
100,-384.92352
101,-366.34464
102,-158.8659
103,-359.50156
104,-179.64807
105,-377.07156
106,-174.62286
107,-429.75375
108,-180.29907
109,-410.83923
110,-460.40994
111,-149.20764
112,-388.91547
113,-261.97433
114,-297.15747
115,-261.347
116,-149.30106
117,-291.55066
118,-306.5113
119,2.6503067
120,-311.581
121,-5.350708
122,-326.3142
123,-167.05237
124,-260.72766
125,-163.38422
126,-164.10034
127,-165.80139
128,-203.94513
129,-541.5432
130,-273.4733
131,-240.3761
132,-576.0243
133,-127.819115
134,-416.70206
135,-524.1136
136,-502.941
137,-419.51056
138,-225.08392
139,9.881132
140,-265.34143
141,-152.08047
142,-173.87465
143,-445.08798
144,-432.8595
145,-141.84976
146,-23.687077
147,-244.41545
148,-30.689367
149,-278.0155
150,-198.8447
151,-323.54288
152,-148.1915
153,-418.87283
154,-206.29005
155,-572.4374
156,-543.29584
157,-522.94055
158,-494.48236
159,-540.4885
160,-517.3957
161,-479.34647
162,-564.4892
163,-286.3022
164,-162.52194
165,-252.9412
166,-342.69482
167,-213.00772
168,-157.75488
169,-307.2121
170,-413.6477
171,-240.6729
172,-304.63596
173,-282.66977
174,41.30093
175,-252.33592
176,-219.75706
177,21.511917
178,-318.65442
179,-179.1341
180,-203.36569
181,-453.357
182,-395.14673
183,-286.922
184,-220.05887
185,-234.42082
186,-143.69226
187,-305.2874
188,-173.06514
189,-353.162
190,-219.27457
191,-237.28407
192,-391.4219
193,3.172657
194,-183.93753
195,-162.9251
196,-340.18542
197,-321.29504
198,-402.26038
199,-401.95825
200,-455.25317
201,-500.3783
202,-503.10776
203,-471.88025
204,-476.57974
205,-512.72406
206,-502.23373
207,-478.94666
208,16.334072
209,-257.23337
210,-125.33321
211,-224.30591
212,-489.46344
213,-190.17645
214,-155.22446
215,42.71693
216,-562.35077
217,-138.85645
218,-300.73587
219,-301.9106
220,-299.432
221,-227.88843
222,-233.13432
223,-384.69092
224,-157.05588
225,-188.6062
226,-290.75223
227,-305.68744
228,-347.82254
229,-550.56995
230,10.286488
231,-442.15225
232,-172.26286
233,-295.8487
234,-223.76572
235,-191.04681
236,43.651287
237,-190.08719
238,-377.03836
239,-368.29672
240,-469.82303
241,-489.97897
242,-38.32218
243,-405.98672
244,-515.07153
245,-142.81206
246,-353.29242
247,-187.27267
248,-532.05786
249,-307.05756
250,-302.37494
251,-459.81943
252,-289.39203
253,-340.0442
254,-301.8758
255,-185.50421
256,48.375168
257,8.669214
258,-131.34825
259,-317.11682
260,-296.60483
261,-319.94818
262,-528.1006
263,-214.76608
264,-294.13684
265,-476.7501
266,-512.0682
267,-507.11972
268,-474.20734
269,-217.87357
270,-404.34445
271,-214.49219
272,-540.4592
273,-410.89185
274,-226.72461
275,-59.160233
276,-183.33362
277,-385.56503
278,-266.66107
279,-348.15234
280,-141.47095
281,-425.41473
282,-189.73563
283,-364.4344
284,-154.80664
285,-404.39127
286,-205.74014
287,-272.22742
288,-343.54327
289,-137.87457
290,8.908257
291,-193.12137
292,7.004011
293,-16.261166
294,-253.45462
295,-313.07507
296,-175.38702
297,-381.50937
298,-553.7368
299,-289.37408
300,-303.66718
301,-480.9059
302,-174.33282
303,-180.33626
304,-293.21375
305,-43.3897
306,-291.97998
307,-295.08255
308,-298.83475
309,-237.71677
310,-266.081
311,-63.390503
312,-152.20572
313,-208.8422
314,-540.22754
315,-555.3834
316,-482.31653
317,-532.25977
318,-513.80005
319,-523.6133
320,-434.33844
321,-136.72105
322,10.316303
323,-478.5771
324,-287.48853
325,-170.01604
326,-478.29388
